ID,Name,DRAJ2000,DDECJ2000,Label
13030,V* BT Lib,232.8162,-23.3601,RV Tau
13029,IRAS 17038-4815,256.9028,-48.319,RV Tau
13031,V* LR Sco,261.9735,-43.8463,RV Tau
13027,V825 Ara,265.0453,-53.7927,RV Tau
13022,V* V811 Ara,255.9236,-61.5047,RV Tau
13033,IRAS 17233-4330,261.7444,-43.5538,RV Tau
13034,V* V385 CrA,270.4739,-42.6197,RV Tau
13035,V* V693 Sco,269.5643,-38.7964,RV Tau
13032,NSV 7708,246.585,-34.2869,RV Tau
13039,V* V558 Sgr,270.4244,-35.3867,RV Tau
13040,V* V1284 Sgr,273.5811,-36.0241,RV Tau
13042,IRAS 18158-3445,274.8057,-34.7417,RV Tau
13041,V* AI Sco,269.0774,-33.8121,RV Tau
13037,V* V400 Sco,267.8291,-36.1824,RV Tau
13046,n/a,0,0,
13043,V* V1009 Sgr,271.0315,-32.3665,RV Tau
13045,n/a,0,0,
13044,n/a,0,0,
13038,V* V423 Sco,268.7033,-35.331,RV Tau
13051,n/a,0,0,
13036,V* V411 Sco,268.3062,-36.8633,RV Tau
13048,n/a,0,0,
13050,n/a,0,0,
13049,n/a,0,0,
13053,n/a,0,0,
13052,n/a,0,0,
13055,n/a,0,0,
13047,n/a,0,0,
13057,n/a,0,0,
13056,n/a,0,0,
13058,n/a,0,0,
13054,n/a,0,0,
13061,n/a,0,0,
13060,n/a,0,0,
13059,n/a,0,0,
13062,n/a,0,0,
13063,n/a,0,0,
13064,n/a,0,0,
13065,n/a,0,0,
13066,n/a,0,0,
13067,n/a,0,0,
13068,n/a,0,0,
13069,n/a,0,0,
13070,n/a,0,0,
13072,n/a,0,0,
13071,n/a,0,0,
13073,n/a,0,0,
13075,n/a,0,0,
13074,n/a,0,0,
13078,n/a,0,0,
13079,n/a,0,0,
13076,n/a,0,0,
13077,n/a,0,0,
13080,n/a,0,0,
13081,n/a,0,0,
13082,n/a,0,0,
13084,n/a,0,0,
13083,n/a,0,0,
13085,n/a,0,0,
13087,n/a,0,0,
13086,n/a,0,0,
13088,n/a,0,0,
13089,n/a,0,0,
13091,n/a,0,0,
13090,n/a,0,0,
13092,n/a,0,0,
13094,n/a,0,0,
13093,n/a,0,0,
13095,n/a,0,0,
13096,n/a,0,0,
13098,n/a,0,0,
13099,n/a,0,0,
13100,n/a,0,0,
13101,n/a,0,0,
13097,n/a,0,0,
13102,n/a,0,0,
13103,n/a,0,0,
13104,n/a,0,0,
13106,n/a,0,0,
13105,n/a,0,0,
13107,n/a,0,0,
13108,n/a,0,0,
13110,n/a,0,0,
13109,n/a,0,0,
13114,n/a,0,0,
13113,n/a,0,0,
13111,n/a,0,0,
13116,n/a,0,0,
13115,n/a,0,0,
13112,n/a,0,0,
13117,n/a,0,0,
13118,n/a,0,0,
13120,n/a,0,0,
13119,n/a,0,0,
13123,n/a,0,0,
13122,HM Sge,295.4879,16.7444,Symbiotic Star
13121,LSE 67,283.6905,-29.3534,Possible prePN
13124,n/a,0,0,
13125,n/a,0,0,
13126,n/a,0,0,
13127,n/a,0,0,
13129,n/a,0,0,
13131,n/a,0,0,
13130,n/a,0,0,
13128,n/a,0,0,
13132,n/a,0,0,
13134,n/a,0,0,
13133,n/a,0,0,
13135,n/a,0,0,
13136,n/a,0,0,
13137,n/a,0,0,
13138,n/a,0,0,
13139,n/a,0,0,
13142,n/a,0,0,
13143,n/a,0,0,
13141,n/a,0,0,
13140,n/a,0,0,
13147,n/a,0,0,
13144,n/a,0,0,
13148,n/a,0,0,
13150,n/a,0,0,
13145,n/a,0,0,
13146,n/a,0,0,
13149,n/a,0,0,
13151,n/a,0,0,
13152,n/a,0,0,
13154,n/a,0,0,
13153,n/a,0,0,
13156,n/a,0,0,
13155,n/a,0,0,
13157,n/a,0,0,
13158,n/a,0,0,
13159,n/a,0,0,
13160,n/a,0,0,
13161,n/a,0,0,
13162,n/a,0,0,
13163,n/a,0,0,
13165,n/a,0,0,
13166,n/a,0,0,
13164,n/a,0,0,
13167,n/a,0,0,
13168,n/a,0,0,
13170,n/a,0,0,
13169,n/a,0,0,
13171,n/a,0,0,
13172,n/a,0,0,
13173,n/a,0,0,
13175,n/a,0,0,
13174,n/a,0,0,
13176,n/a,0,0,
13177,n/a,0,0,
13178,n/a,0,0,
13179,n/a,0,0,
13184,n/a,0,0,
13181,n/a,0,0,
13182,n/a,0,0,
13183,n/a,0,0,
13180,n/a,0,0,
13185,n/a,0,0,
13188,n/a,0,0,
13189,n/a,0,0,
13187,n/a,0,0,
13190,n/a,0,0,
13191,n/a,0,0,
13193,n/a,0,0,
13186,n/a,0,0,
13192,n/a,0,0,
13195,n/a,0,0,
13194,n/a,0,0,
13197,n/a,0,0,
13198,n/a,0,0,
13199,n/a,0,0,
13196,n/a,0,0,
13203,n/a,0,0,
13202,n/a,0,0,
13201,n/a,0,0,
13200,n/a,0,0,
13204,n/a,0,0,
13205,n/a,0,0,
13206,n/a,0,0,
13207,n/a,0,0,
13208,n/a,0,0,
13209,n/a,0,0,
13210,n/a,0,0,
13212,n/a,0,0,
13211,n/a,0,0,
13214,n/a,0,0,
13213,n/a,0,0,
13216,n/a,0,0,
13217,n/a,0,0,
13218,n/a,0,0,
13215,n/a,0,0,
13219,n/a,0,0,
13221,n/a,0,0,
13220,n/a,0,0,
13222,n/a,0,0,
13223,n/a,0,0,
13224,n/a,0,0,
13226,n/a,0,0,
13228,n/a,0,0,
13227,n/a,0,0,
13225,n/a,0,0,
13229,n/a,0,0,
13232,n/a,0,0,
13230,n/a,0,0,
13231,n/a,0,0,
13233,n/a,0,0,
13235,n/a,0,0,
13234,n/a,0,0,
13236,n/a,0,0,
13238,n/a,0,0,
13237,n/a,0,0,
13239,n/a,0,0,
13240,n/a,0,0,
13242,n/a,0,0,
13244,n/a,0,0,
13243,n/a,0,0,
13245,n/a,0,0,
13246,n/a,0,0,
13241,n/a,0,0,
13247,n/a,0,0,
13248,n/a,0,0,
13250,n/a,0,0,
13249,n/a,0,0,
13251,n/a,0,0,
13252,n/a,0,0,
13254,n/a,0,0,
13255,n/a,0,0,
13258,n/a,0,0,
13257,n/a,0,0,
13253,n/a,0,0,
13259,n/a,0,0,
13256,n/a,0,0,
13261,n/a,0,0,
13263,n/a,0,0,
13260,n/a,0,0,
13264,n/a,0,0,
13262,n/a,0,0,
13265,n/a,0,0,
13266,n/a,0,0,
13267,n/a,0,0,
13268,n/a,0,0,
13269,n/a,0,0,
13270,n/a,0,0,
13271,n/a,0,0,
13272,n/a,0,0,
13274,n/a,0,0,
13273,n/a,0,0,
13275,n/a,0,0,
13277,n/a,0,0,
13278,n/a,0,0,
13279,n/a,0,0,
13280,n/a,0,0,
13281,n/a,0,0,
13276,n/a,0,0,
13282,n/a,0,0,
13285,n/a,0,0,
13283,n/a,0,0,
13284,n/a,0,0,
13286,n/a,0,0,
13288,n/a,0,0,
13287,n/a,0,0,
13290,n/a,0,0,
13292,n/a,0,0,
13289,n/a,0,0,
13291,n/a,0,0,
13293,n/a,0,0,
13294,n/a,0,0,
13296,n/a,0,0,
13297,n/a,0,0,
13295,n/a,0,0,
13298,n/a,0,0,
13299,n/a,0,0,
13301,n/a,0,0,
13300,n/a,0,0,
13303,n/a,0,0,
13302,n/a,0,0,
13304,n/a,0,0,
13305,n/a,0,0,
13307,n/a,0,0,
13308,n/a,0,0,
13306,n/a,0,0,
13309,n/a,0,0,
13311,n/a,0,0,
13310,n/a,0,0,
13312,n/a,0,0,
13313,n/a,0,0,
13314,n/a,0,0,
13315,n/a,0,0,
13316,n/a,0,0,
13317,n/a,0,0,
13318,n/a,0,0,
13319,n/a,0,0,
13320,n/a,0,0,
13321,n/a,0,0,
13322,n/a,0,0,
13323,n/a,0,0,
13324,n/a,0,0,
13325,n/a,0,0,
13326,n/a,0,0,
13327,n/a,0,0,
13328,n/a,0,0,
13330,n/a,0,0,
13329,n/a,0,0,
13331,n/a,0,0,
13333,n/a,0,0,
13332,n/a,0,0,
13334,n/a,0,0,
13336,n/a,0,0,
13337,n/a,0,0,
13338,n/a,0,0,
13339,n/a,0,0,
13335,n/a,0,0,
13340,n/a,0,0,
13341,n/a,0,0,
