idPNMain,PNG,Name,RAJ2000,DECJ2000,DRAJ2000,DDECJ2000,LABEL
132,003.8-04.5,H 2-41,12:23.8,-27:52:13.87,273.09903,-27.87052, True PN
133,003.9-02.3,M 1-35,03:39.3,-26:43:33.7,270.91379,-26.72603, True PN
134,003.9-03.1,KFL 7,06:50.0,-27:06:19.51,271.70838,-27.10542, True PN
135,003.9+01.6,Terz N 2111,48:28.4,-24:41:23.93,267.1185,-24.68998, True PN
136,003.9-14.9,Hb 7,55:37.8,-32:15:48.53,283.9077,-32.26348, True PN
137,004.0-11.1,M 3-29,39:25.8,-30:40:36.70,279.85739,-30.67686, True PN
138,004.0-05.8,Pe 1-12,17:42.3,-28:17:15.79,274.42624,-28.28772, True PN
139,004.0-03.0,M 2-29,06:40.9,-26:54:55.94,271.67026,-26.91554, True PN
140,004.1-03.8,KFL 11,10:12.2,-27:16:35.00,272.55103,-27.27639, True PN
141,004.2-04.3,H 1-60,12:25.2,-27:29:12.95,273.1048,-27.48693, True PN
142,004.2-03.2,KFL 10,08:01.3,-26:54:01.51,272.00546,-26.90042, True PN
143,004.2-05.9,M 2-37,18:38.3,-28:07:58.55,274.65977,-28.13293, Likely PN
145,004.3-02.6,H 1-53,05:57.4,-26:29:41.50,271.4892,-26.49486, True PN
147,004.6-09.9,SB 9,35:42.3,-29:38:23.06,278.92633,-29.63974, Likely PN
148,004.6+06.0,H 1-24,33:37.6,-21:46:24.78,263.40652,-21.77355, True PN
149,004.7-11.8,Hen 2-418,44:14.6,-30:19:36.77,281.06082,-30.32688, True PN
150,004.8-05.0,M 3-26,16:11.4,-27:14:57.44,274.04752,-27.24929, True PN
151,004.8+02.0,H 2-25,49:00.5,-23:42:54.58,267.25201,-23.71516, True PN
152,004.8-22.7,Hen 2-436,32:06.7,-34:12:57.42,293.02792,-34.21595, True PN
153,004.9+04.9,M 1-25,38:30.3,-22:08:38.87,264.62628,-22.14413, True PN
154,004.9-04.9,M 1-44,16:17.3,-27:04:34.61,274.07229,-27.07628, True PN
155,005.0+04.4,H 1-27,40:17.9,-22:19:17.65,265.07471,-22.32157, True PN
156,005.0-03.9,H 2-42,12:23.0,-26:32:54.38,273.09572,-26.54844, True PN
157,005.0+03.0,Pe 1-9,45:36.7,-23:02:25.44,266.403,-23.0404, True PN
158,005.1-03.0,H 1-58,09:13.8,-26:02:28.79,272.30765,-26.04133, True PN
159,005.1-08.9,Hf 2-2,32:30.8,-28:43:20.0,278.12846,-28.72222, True PN
160,005.1+02.0,K 5-19,49:51.3,-23:27:44.28,267.46368,-23.4623, True PN
161,005.2-18.6,StWr 2-21,14:23.3,-32:34:16.75,288.59723,-32.57132, True PN
162,005.2+05.6,M 3-12,36:22.6,-21:31:12.22,264.0943,-21.52006, True PN
163,005.2+04.2,M 3-13,41:36.6,-22:13:02.46,265.40247,-22.21735, Likely PN
164,005.4-01.9,PBOZ 34,05:25.4,-25:13:35.62,271.35573,-25.22656, True PN
165,005.5-04.0,H 2-44,13:40.6,-26:08:38.72,273.41901,-26.14409, True PN
166,005.5-02.5,M 3-24,07:53.9,-25:24:02.70,271.97464,-25.40075, True PN
167,005.5+02.7,H 1-34,48:07.7,-22:46:47.53,267.03195,-22.77987, True PN
168,005.6-04.7,KFL 16,16:54.0,-26:23:21.12,274.225,-26.3892, True PN
169,005.7-05.3,M 2-38,19:25.2,-26:35:19.93,274.85483,-26.58887, True PN
170,005.7-03.6,KFL 13,12:44.6,-25:44:19.68,273.186,-25.7388, True PN
171,005.8-06.1,NGC 6620,22:54.2,-26:49:17.00,275.72577,-26.82139, True PN
172,005.8+05.1,H 2-16,39:55.4,-21:14:11.40,264.981,-21.2365, True PN
174,006.0-03.6,M 2-31,13:16.0,-25:30:04.97,273.31677,-25.50138, True PN
175,006.0+02.8,Th 4-3,48:37.4,-22:16:48.79,267.15579,-22.28022, True PN
176,006.0-41.9,PRMG 1,05:53.6,-37:08:40.27,316.47314,-37.14452, True PN
177,006.2-03.7,KFL 15,14:19.4,-25:20:49.56,273.581,-25.3471, True PN
178,006.2+01.0,HaTr 8,55:55.9,-22:59:01.0,268.983,-22.98361, True PN
179,006.3+03.3,H 2-22,47:33.9,-21:47:23.10,266.89136,-21.78975, True PN
180,006.3+04.4,H 2-18,43:28.7,-21:09:51.30,265.86978,-21.16425, True PN
181,006.4-04.6,Pe 2-13,18:13.4,-25:38:08.92,274.55566,-25.63581, True PN
182,006.4+02.0,M 1-31,52:41.4,-22:21:56.84,268.17267,-22.36579, True PN
183,006.5-05.8,SB 13,23:00.2,-26:05:15.72,275.751,-26.0877, True PN
184,006.5-03.1,H 1-61,12:34.0,-24:50:00.28,273.14157,-24.83341, True PN
185,006.5+03.4,PN PBOZ 29,47:49.1,-21:32:22.09,266.95443,-21.53947, True PN
186,006.7-02.2,M 1-41,09:30.6,-24:12:29.99,272.37733,-24.20833, True PN
187,006.8-08.6,Al 1,34:55.3,-27:06:18.11,278.73022,-27.10503, True PN
188,006.8-03.4,H 2-45,14:28.7,-24:43:37.96,273.61976,-24.72721, True PN
189,006.8+02.3,Th 4-7,52:22.6,-21:51:13.7,268.09425,-21.85381, True PN
190,006.8-19.8,Wray 16-423,22:10.6,-31:30:38.66,290.54428,-31.51074, True PN
191,006.8+02.0,Pe 2-10,53:37.1,-21:58:43.14,268.40461,-21.97865, True PN
192,007.0-06.8,Vy 2-1,27:59.6,-26:06:48.28,276.99835,-26.11341, True PN
193,007.0+06.3,M 1-24,38:11.6,-19:37:37.63,264.54828,-19.62712, True PN
194,007.0-06.0,H 1-66,24:57.4,-25:41:54.96,276.239,-25.6986, True PN
195,007.2+01.8,IC 4670,55:07.0,-21:44:40.2,268.77929,-21.7445, True PN
197,007.5+07.4,M 1-22,35:10.2,-18:34:20.42,263.79266,-18.57234, True PN
198,007.6+06.9,M 1-23,37:22.0,-18:46:41.88,264.34167,-18.7783, True PN
199,007.7-05.3,SB 14,23:42.5,-24:47:28.32,275.927,-24.7912, True PN
200,007.8-03.7,M 2-34,17:15.9,-23:58:54.52,274.31644,-23.98181, True PN
201,007.8-04.4,H 1-65,20:08.8,-24:15:05.08,275.03687,-24.25141, True PN
202,008.0+03.9,NGC 6445,49:15.3,-20:00:34.45,267.31363,-20.00957, True PN
204,008.1-04.7,M 2-39,22:01.1,-24:10:40.19,275.50479,-24.17783, True PN
205,008.2-04.8,M 2-42,22:32.1,-24:09:27.61,275.63368,-24.15767, True PN
206,008.3-01.1,M 1-40,08:26.0,-22:16:53.26,272.10831,-22.28146, True PN
207,008.3-07.3,NGC 6644,32:34.6,-25:07:44.00,278.14435,-25.12889, True PN
208,008.4-03.6,H 1-64,18:23.9,-23:24:57.13,274.59961,-23.41587, True PN
209,008.6-07.0,Hen 2-406,31:52.8,-24:46:16.54,277.97018,-24.77126, True PN
210,008.6-02.6,MaC 1-11,14:50.9,-22:43:55.42,273.71204,-22.73206, True PN
211,008.8+05.2,Th 4-2,46:09.7,-18:39:30.3,266.54025,-18.65842, True PN
212,009.0+00.4,GLMP 707,04:08.4,-20:57:05.40,271.035,-20.9515, True PN
214,009.3+02.8,Th 4-9,56:00.6,-19:29:26.59,269.00244,-19.49072, True PN
215,009.3+04.1,Th 4-6,50:57.2,-18:46:48.14,267.7384,-18.78004, True PN
217,009.4-09.8,M 3-32,44:43.1,-25:21:33.84,281.17969,-25.3594, True PN
218,009.4-05.0,NGC 6629,25:42.5,-23:12:10.58,276.42688,-23.20294, True PN
219,009.4-05.6,SB 16,28:21.3,-23:25:25.54,277.08859,-23.42376, Likely PN
220,009.6-10.6,M 3-33,48:12.1,-25:28:52.39,282.05054,-25.48122, True PN
221,009.6+14.8,NGC 6309,14:04.3,-12:54:37.69,258.51801,-12.91047, True PN
222,009.6+10.5,Abell 41,29:02.0,-15:13:05.20,262.25815,-15.21811, True PN
223,009.8-04.6,H 1-67,25:05.0,-22:34:52.64,276.27072,-22.58129, True PN
224,010.1+00.7,NGC 6537,05:13.1,-19:50:34.87,271.30441,-19.84302, True PN
226,010.4+04.5,M 2-17,52:04.8,-17:36:05.76,268.02,-17.6016, True PN
227,010.6+03.2,Th 4-10,57:06.5,-18:06:41.40,269.277,-18.1115, True PN
228,010.7+07.4,Sa 2-230,42:02.0,-15:56:07.48,265.50836,-15.93541, True PN
229,010.7-06.4,IC 4732,33:54.6,-22:38:40.92,278.47763,-22.6447, True PN
230,010.7-06.7,Pe 1-13,34:51.7,-22:43:16.97,278.71524,-22.72138, True PN
231,010.8-01.8,NGC 6578,16:16.5,-20:27:02.66,274.06882,-20.45074, True PN
233,011.0+06.2,M 2-15,46:54.4,-16:17:24.79,266.72687,-16.29022, True PN
234,011.0+05.8,NGC 6439,48:19.8,-16:28:44.22,267.08249,-16.47895, True PN
235,011.0-05.1,M 1-47,29:11.2,-21:46:53.44,277.29648,-21.78151, True PN
236,011.1+11.5,M 2-13,28:34.2,-13:26:20.83,262.14246,-13.43912, True PN
238,011.1-07.9,SB 17,40:19.9,-22:54:29.3,280.08304,-22.90814, Likely PN
239,011.3-09.4,My 121,46:35.1,-23:26:48.32,281.6463,-23.44675, True PN
240,011.3+02.8,Th 4-11,00:08.8,-17:40:43.32,270.03674,-17.6787, Possible PN
241,011.4+17.9,DeHt 10,06:55.2,-09:47:01.18,256.73,-9.78366, True PN
242,011.4-07.3,SB 18,38:43.1,-22:24:13.97,279.67938,-22.40388, True PN
